task,episode_key,success,failure,any_correct_move,any_height_violation,any_near_target,first_correct_move_step,first_milestone,first_near_target_step,first_success_step,initial_geometry
move_near,move_near/condition_0000,True,False,True,False,True,52,52,57,57,0.29604844002514835
move_near,move_near/condition_0001,True,False,True,False,True,37,37,38,38,0.25373084301433124
move_near,move_near/condition_0002,True,False,True,False,True,19,19,25,25,0.2960711882566522
move_near,move_near/condition_0003,True,False,True,False,True,19,19,31,31,0.2515752176245937
move_near,move_near/condition_0004,True,False,True,False,True,24,24,28,28,0.25383906409123036
move_near,move_near/condition_0005,False,True,False,False,False,,81,,,0.2515507917547851
move_near,move_near/condition_0006,True,False,True,False,True,28,28,33,33,0.2466655308663504
move_near,move_near/condition_0007,True,False,True,False,True,41,41,46,50,0.30014559278479847
move_near,move_near/condition_0008,True,False,True,False,True,21,21,23,23,0.2466591422755143
move_near,move_near/condition_0009,False,True,False,False,False,,81,,,0.25201360655693883
move_near,move_near/condition_0010,False,True,False,False,False,,81,,,0.30018018132949015
move_near,move_near/condition_0011,True,False,True,False,True,31,31,34,34,0.251823507583517
move_near,move_near/condition_0012,False,True,False,False,False,,81,,,0.30232698293325805
move_near,move_near/condition_0013,False,True,False,False,False,,81,,,0.2536844150276038
move_near,move_near/condition_0014,True,False,True,False,True,18,18,34,34,0.3023273965854628
move_near,move_near/condition_0015,False,True,False,False,False,,81,,,0.2509196788289958
move_near,move_near/condition_0016,False,True,True,False,False,74,74,,,0.25368383889656915
move_near,move_near/condition_0017,False,True,True,False,False,78,78,,,0.25093066879274767
move_near,move_near/condition_0018,False,True,True,True,False,43,43,,,0.25242109260637213
move_near,move_near/condition_0019,False,True,True,False,False,54,54,,,0.30350410651509124
move_near,move_near/condition_0020,False,True,True,False,False,23,23,,,0.2522973917562352
move_near,move_near/condition_0021,False,True,True,False,False,56,56,,,0.25000787019483195
move_near,move_near/condition_0022,True,False,True,False,True,48,48,50,50,0.3035048980504209
move_near,move_near/condition_0023,True,False,True,False,True,29,29,29,29,0.24994054115442826
move_near,move_near/condition_0024,False,True,False,False,False,,81,,,0.3013443033295613
move_near,move_near/condition_0025,False,True,True,False,False,37,37,,,0.2533506674341934
move_near,move_near/condition_0026,True,False,True,False,True,49,49,51,51,0.3013443033295613
move_near,move_near/condition_0027,False,True,True,False,False,78,78,,,0.2512116530822567
move_near,move_near/condition_0028,True,False,True,False,True,39,39,40,40,0.25335011192286
move_near,move_near/condition_0029,True,False,True,False,True,31,31,49,49,0.25122070051311196
move_near,move_near/condition_0030,False,True,True,True,False,43,43,,,0.24975620237721374
move_near,move_near/condition_0031,False,True,True,False,False,44,44,,,0.3030592560700924
move_near,move_near/condition_0032,False,True,False,False,False,,81,,,0.24975620237721374
move_near,move_near/condition_0033,False,True,True,False,False,28,28,,,0.2510043364688367
move_near,move_near/condition_0034,False,True,False,False,False,,81,,,0.3030097740329704
